"","Data Type","Census Tract","Age","Population","Sex","Number of Individuals"
"1","Estimate",970101,"Under 5 years","65","Male","497"
"2","Estimate",970101,"Under 5 years","65","Female","443"
"3","Estimate",970101,"5 to 9 years","37","Male","497"
"4","Estimate",970101,"5 to 9 years","37","Female","443"
"5","Estimate",970101,"10 to 14 years","68","Male","497"
"6","Estimate",970101,"10 to 14 years","68","Female","443"
"7","Estimate",970101,"15 to 19 years","8","Male","497"
"8","Estimate",970101,"15 to 19 years","8","Female","443"
"9","Estimate",970101,"20 to 24 years","30","Male","497"
"10","Estimate",970101,"20 to 24 years","30","Female","443"
"11","Estimate",970101,"25 to 34 years","134","Male","497"
"12","Estimate",970101,"25 to 34 years","134","Female","443"
"13","Estimate",970101,"35 to 44 years","47","Male","497"
"14","Estimate",970101,"35 to 44 years","47","Female","443"
"15","Estimate",970101,"45 to 54 years","118","Male","497"
"16","Estimate",970101,"45 to 54 years","118","Female","443"
"17","Estimate",970101,"55 to 59 years","38","Male","497"
"18","Estimate",970101,"55 to 59 years","38","Female","443"
"19","Estimate",970101,"60 to 64 years","98","Male","497"
"20","Estimate",970101,"60 to 64 years","98","Female","443"
"21","Estimate",970101,"65 to 74 years","159","Male","497"
"22","Estimate",970101,"65 to 74 years","159","Female","443"
"23","Estimate",970101,"75 to 84 years","92","Male","497"
"24","Estimate",970101,"75 to 84 years","92","Female","443"
"25","Estimate",970101,"85 years and over","46","Male","497"
"26","Estimate",970101,"85 years and over","46","Female","443"
"27","Estimate",970101,"Median age (years)","50.3","Male","497"
"28","Estimate",970101,"Median age (years)","50.3","Female","443"
"29","Estimate",970102,"Under 5 years","113","Male","1,000"
"30","Estimate",970102,"Under 5 years","113","Female","1,392"
"31","Estimate",970102,"5 to 9 years","33","Male","1,000"
"32","Estimate",970102,"5 to 9 years","33","Female","1,392"
"33","Estimate",970102,"10 to 14 years","77","Male","1,000"
"34","Estimate",970102,"10 to 14 years","77","Female","1,392"
"35","Estimate",970102,"15 to 19 years","108","Male","1,000"
"36","Estimate",970102,"15 to 19 years","108","Female","1,392"
"37","Estimate",970102,"20 to 24 years","69","Male","1,000"
"38","Estimate",970102,"20 to 24 years","69","Female","1,392"
"39","Estimate",970102,"25 to 34 years","166","Male","1,000"
"40","Estimate",970102,"25 to 34 years","166","Female","1,392"
"41","Estimate",970102,"35 to 44 years","183","Male","1,000"
"42","Estimate",970102,"35 to 44 years","183","Female","1,392"
"43","Estimate",970102,"45 to 54 years","321","Male","1,000"
"44","Estimate",970102,"45 to 54 years","321","Female","1,392"
"45","Estimate",970102,"55 to 59 years","181","Male","1,000"
"46","Estimate",970102,"55 to 59 years","181","Female","1,392"
"47","Estimate",970102,"60 to 64 years","370","Male","1,000"
"48","Estimate",970102,"60 to 64 years","370","Female","1,392"
"49","Estimate",970102,"65 to 74 years","501","Male","1,000"
"50","Estimate",970102,"65 to 74 years","501","Female","1,392"
"51","Estimate",970102,"75 to 84 years","263","Male","1,000"
"52","Estimate",970102,"75 to 84 years","263","Female","1,392"
"53","Estimate",970102,"85 years and over","7","Male","1,000"
"54","Estimate",970102,"85 years and over","7","Female","1,392"
"55","Estimate",970102,"Median age (years)","58.7","Male","1,000"
"56","Estimate",970102,"Median age (years)","58.7","Female","1,392"
"57","Estimate",970103,"Under 5 years","42","Male","1,325"
"58","Estimate",970103,"Under 5 years","42","Female","1,152"
"59","Estimate",970103,"5 to 9 years","88","Male","1,325"
"60","Estimate",970103,"5 to 9 years","88","Female","1,152"
"61","Estimate",970103,"10 to 14 years","73","Male","1,325"
"62","Estimate",970103,"10 to 14 years","73","Female","1,152"
"63","Estimate",970103,"15 to 19 years","184","Male","1,325"
"64","Estimate",970103,"15 to 19 years","184","Female","1,152"
"65","Estimate",970103,"20 to 24 years","76","Male","1,325"
"66","Estimate",970103,"20 to 24 years","76","Female","1,152"
"67","Estimate",970103,"25 to 34 years","254","Male","1,325"
"68","Estimate",970103,"25 to 34 years","254","Female","1,152"
"69","Estimate",970103,"35 to 44 years","204","Male","1,325"
"70","Estimate",970103,"35 to 44 years","204","Female","1,152"
"71","Estimate",970103,"45 to 54 years","358","Male","1,325"
"72","Estimate",970103,"45 to 54 years","358","Female","1,152"
"73","Estimate",970103,"55 to 59 years","370","Male","1,325"
"74","Estimate",970103,"55 to 59 years","370","Female","1,152"
"75","Estimate",970103,"60 to 64 years","270","Male","1,325"
"76","Estimate",970103,"60 to 64 years","270","Female","1,152"
"77","Estimate",970103,"65 to 74 years","319","Male","1,325"
"78","Estimate",970103,"65 to 74 years","319","Female","1,152"
"79","Estimate",970103,"75 to 84 years","109","Male","1,325"
