"","Data Type","Census Tract","Male","Female","Under 5 years","5 to 9 years","10 to 14 years","15 to 19 years","20 to 24 years","25 to 34 years","35 to 44 years","45 to 54 years","55 to 59 years","60 to 64 years","65 to 74 years","75 to 84 years","85 years and over"
"1","Percent",970101,"52.90%","47.10%","6.90%","3.90%","7.20%","0.90%","3.20%","14.30%","5.00%","12.60%","4.00%","10.40%","16.90%","9.80%","4.90%"
"2","Percent",970102,"41.80%","58.20%","4.70%","1.40%","3.20%","4.50%","2.90%","6.90%","7.70%","13.40%","7.60%","15.50%","20.90%","11.00%","0.30%"
"3","Percent",970103,"53.50%","46.50%","1.70%","3.60%","2.90%","7.40%","3.10%","10.30%","8.20%","14.50%","14.90%","10.90%","12.90%","4.40%","5.20%"
"4","Percent",970200,"45.70%","54.30%","4.50%","1.80%","6.60%","3.60%","5.30%","11.30%","6.60%","12.30%","6.90%","14.10%","18.60%","5.90%","2.60%"
"5","Percent",970301,"49.30%","50.70%","3.60%","5.20%","4.60%","4.00%","3.40%","12.80%","9.10%","8.80%","11.70%","5.60%","23.10%","6.60%","1.50%"
"6","Percent",970304,"40.40%","59.60%","2.90%","4.50%","10.60%","4.50%","3.70%","9.00%","10.20%","9.00%","7.30%","8.80%","18.00%","8.30%","3.10%"
"7","Percent",970305,"45.60%","54.40%","5.20%","1.30%","0.70%","7.80%","7.10%","10.80%","8.90%","13.70%","6.90%","9.90%","14.90%","11.00%","1.90%"
"8","Percent",970401,"43.10%","56.90%","1.50%","1.80%","0.60%","0.60%","16.30%","13.90%","5.80%","11.40%","8.20%","9.80%","11.40%","14.10%","4.50%"
"9","Percent",970402,"49.20%","50.80%","9.30%","5.80%","1.30%","3.30%","5.00%","17.10%","7.80%","6.60%","9.80%","15.20%","12.60%","3.60%","2.60%"
"10","Percent",970403,"46.20%","53.80%","0.80%","2.40%","2.20%","13.40%","3.30%","6.90%","10.80%","18.60%","4.80%","2.80%","19.30%","11.40%","3.30%"
"11","Percent",970501,"50.40%","49.60%","5.30%","2.00%","9.30%","2.00%","7.80%","18.50%","10.50%","10.50%","7.50%","10.10%","11.50%","3.50%","1.40%"
"12","Percent",970502,"50.80%","49.20%","6.10%","3.60%","3.20%","3.80%","2.50%","12.40%","9.30%","13.50%","6.80%","11.50%","16.20%","10.00%","1.20%"
"13","Percent",970503,"43.90%","56.10%","4.20%","7.60%","9.00%","3.90%","1.20%","10.40%","12.90%","14.50%","4.10%","11.30%","11.00%","5.10%","4.90%"
"14","Percent",970504,"48.00%","52.00%","6.50%","9.00%","8.20%","6.10%","0.60%","7.30%","13.80%","19.90%","4.10%","7.50%","13.70%","2.50%","1.00%"
"15","Percent",970601,"50.70%","49.30%","7.90%","3.00%","6.50%","6.00%","2.90%","3.80%","14.00%","12.30%","9.80%","8.80%","17.00%","6.40%","1.50%"
"16","Percent",970602,"57.30%","42.70%","5.60%","0.40%","2.90%","5.70%","6.00%","13.90%","4.30%","11.90%","9.30%","18.80%","12.90%","8.30%","0.00%"
"17","Percent",970603,"48.90%","51.10%","4.90%","5.30%","9.50%","5.90%","5.40%","14.70%","12.50%","10.90%","11.30%","6.30%","8.80%","3.60%","0.90%"
"18","Percent",970606,"53.70%","46.30%","3.80%","5.20%","5.70%","3.10%","3.20%","6.20%","8.80%","17.00%","5.00%","8.10%","18.80%","10.60%","4.50%"
"19","Percent",970701,"49.80%","50.20%","1.10%","3.30%","8.50%","8.50%","2.30%","8.90%","7.60%","14.00%","12.00%","8.00%","21.00%","3.60%","1.00%"
"20","Percent",970702,"52.90%","47.10%","4.70%","7.10%","8.50%","10.40%","4.40%","9.60%","18.10%","15.50%","5.30%","6.80%","5.80%","3.30%","0.40%"
"21","Percent",970703,"48.80%","51.20%","2.60%","5.30%","4.50%","6.80%","4.80%","13.60%","17.30%","12.00%","4.60%","7.90%","10.30%","8.40%","1.80%"
"22","Percent",970704,"57.90%","42.10%","2.00%","2.20%","5.50%","7.00%","6.80%","6.40%","12.60%","9.40%","8.80%","8.70%","16.80%","12.10%","1.50%"
"23","Percent",970801,"55.60%","44.40%","5.70%","4.90%","6.50%","5.90%","9.20%","4.80%","17.00%","11.70%","4.00%","9.70%","12.90%","5.50%","2.30%"
"24","Percent",970804,"48.60%","51.40%","4.30%","5.70%","6.20%","5.40%","5.40%","8.00%","13.10%","16.20%","5.50%","10.40%","14.40%","4.50%","0.80%"
"25","Percent",970805,"51.30%","48.70%","5.10%","6.70%","4.40%","5.60%","5.90%","9.90%","11.10%","18.70%","7.80%","7.20%","9.30%","7.20%","1.20%"
"26","Percent",970806,"46.20%","53.80%","3.70%","9.00%","5.90%","5.40%","2.60%","6.10%","15.20%","12.20%","5.70%","9.70%","15.20%","6.50%","2.90%"
"27","Percent",970903,"49.40%","50.60%","3.90%","1.10%","3.30%","3.00%","0.00%","4.90%","6.80%","16.60%","8.80%","14.10%","27.20%","8.20%","2.00%"
"28","Percent",970904,"47.50%","52.50%","3.00%","2.40%","5.70%","7.10%","2.20%","5.60%","8.00%","14.20%","12.70%","11.20%","19.00%","7.10%","1.70%"
"29","Percent",971003,"49.40%","50.60%","2.10%","3.10%","3.80%","2.10%","2.10%","4.00%","7.30%","8.80%","12.00%","12.60%","25.40%","10.30%","6.50%"
"30","Percent",971103,"52.30%","47.70%","1.10%","4.30%","3.90%","4.60%","4.00%","8.10%","5.20%","14.20%","7.60%","7.40%","20.90%","11.40%","7.50%"
