TRACTCE,Race,Population
970101,White,92.3
970101,Black.or.African.American,3.6
970101,American.Indian.and.Alaska.Native,0
970101,Cherokee.Tribal.Grouping,0
970101,Sioux.Tribal.Grouping,0
970101,Asian,0
970102,White,95.3
970102,Black.or.African.American,1.9
970102,American.Indian.and.Alaska.Native,0
970102,Cherokee.Tribal.Grouping,0
970102,Sioux.Tribal.Grouping,0
970102,Asian,0.3
970103,White,98.5
970103,Black.or.African.American,0
970103,American.Indian.and.Alaska.Native,0
970103,Cherokee.Tribal.Grouping,0
970103,Sioux.Tribal.Grouping,0
970103,Asian,0
970200,White,96.4
970200,Black.or.African.American,2.6
970200,American.Indian.and.Alaska.Native,0
970200,Cherokee.Tribal.Grouping,0
970200,Sioux.Tribal.Grouping,0
970200,Asian,0.6
970301,White,72.7
970301,Black.or.African.American,20.4
970301,American.Indian.and.Alaska.Native,1.9
970301,Cherokee.Tribal.Grouping,0
970301,Sioux.Tribal.Grouping,0
970301,Asian,0
970304,White,82.4
970304,Black.or.African.American,8.7
970304,American.Indian.and.Alaska.Native,0
970304,Cherokee.Tribal.Grouping,0
970304,Sioux.Tribal.Grouping,0
970304,Asian,0
970305,White,74.2
970305,Black.or.African.American,20.7
970305,American.Indian.and.Alaska.Native,0.4
970305,Cherokee.Tribal.Grouping,0
970305,Sioux.Tribal.Grouping,0
970305,Asian,0.6
970401,White,87
970401,Black.or.African.American,10.3
970401,American.Indian.and.Alaska.Native,0
970401,Cherokee.Tribal.Grouping,0
970401,Sioux.Tribal.Grouping,0
970401,Asian,1
970402,White,72.5
970402,Black.or.African.American,16.8
970402,American.Indian.and.Alaska.Native,0.8
970402,Cherokee.Tribal.Grouping,0
970402,Sioux.Tribal.Grouping,0
970402,Asian,1.1
970403,White,74.7
970403,Black.or.African.American,1.6
970403,American.Indian.and.Alaska.Native,0
970403,Cherokee.Tribal.Grouping,0
970403,Sioux.Tribal.Grouping,0
970403,Asian,0
970501,White,87.3
970501,Black.or.African.American,2.1
970501,American.Indian.and.Alaska.Native,0
970501,Cherokee.Tribal.Grouping,0
