"","Data Type","Census Tract","Category","Population"
"1","Total Estimate",970101,"Civilian Labor Force 16 Years and Over","334"
"2","Total Estimate",970101,"Employed","324"
"3","Total Estimate",970101,"Male","187"
"4","Total Estimate",970101,"Female","137"
"5","Total Estimate",970101,"Unemployed","10"
"6","Total Estimate",970101,"Unemployed Males","10"
"7","Total Estimate",970101,"Unemployed Females","0"
"8","Total Estimate",970102,"Civilian Labor Force 16 Years and Over","1,094"
"9","Total Estimate",970102,"Employed","1,070"
"10","Total Estimate",970102,"Male","478"
"11","Total Estimate",970102,"Female","592"
"12","Total Estimate",970102,"Unemployed","24"
"13","Total Estimate",970102,"Unemployed Males","24"
"14","Total Estimate",970102,"Unemployed Females","0"
"15","Total Estimate",970103,"Civilian Labor Force 16 Years and Over","1,277"
"16","Total Estimate",970103,"Employed","1,180"
"17","Total Estimate",970103,"Male","636"
"18","Total Estimate",970103,"Female","544"
"19","Total Estimate",970103,"Unemployed","97"
"20","Total Estimate",970103,"Unemployed Males","76"
"21","Total Estimate",970103,"Unemployed Females","21"
"22","Total Estimate",970200,"Civilian Labor Force 16 Years and Over","584"
"23","Total Estimate",970200,"Employed","545"
"24","Total Estimate",970200,"Male","211"
"25","Total Estimate",970200,"Female","334"
"26","Total Estimate",970200,"Unemployed","39"
"27","Total Estimate",970200,"Unemployed Males","5"
"28","Total Estimate",970200,"Unemployed Females","34"
"29","Total Estimate",970301,"Civilian Labor Force 16 Years and Over","2,027"
"30","Total Estimate",970301,"Employed","1,977"
"31","Total Estimate",970301,"Male","1,044"
"32","Total Estimate",970301,"Female","933"
"33","Total Estimate",970301,"Unemployed","50"
"34","Total Estimate",970301,"Unemployed Males","17"
"35","Total Estimate",970301,"Unemployed Females","33"
"36","Total Estimate",970304,"Civilian Labor Force 16 Years and Over","1,036"
"37","Total Estimate",970304,"Employed","925"
"38","Total Estimate",970304,"Male","354"
"39","Total Estimate",970304,"Female","571"
"40","Total Estimate",970304,"Unemployed","111"
"41","Total Estimate",970304,"Unemployed Males","34"
"42","Total Estimate",970304,"Unemployed Females","77"
"43","Total Estimate",970305,"Civilian Labor Force 16 Years and Over","860"
"44","Total Estimate",970305,"Employed","815"
"45","Total Estimate",970305,"Male","375"
"46","Total Estimate",970305,"Female","440"
"47","Total Estimate",970305,"Unemployed","45"
"48","Total Estimate",970305,"Unemployed Males","12"
"49","Total Estimate",970305,"Unemployed Females","33"
"50","Total Estimate",970401,"Civilian Labor Force 16 Years and Over","783"
"51","Total Estimate",970401,"Employed","759"
"52","Total Estimate",970401,"Male","365"
"53","Total Estimate",970401,"Female","394"
"54","Total Estimate",970401,"Unemployed","24"
"55","Total Estimate",970401,"Unemployed Males","24"
"56","Total Estimate",970401,"Unemployed Females","0"
"57","Total Estimate",970402,"Civilian Labor Force 16 Years and Over","635"
"58","Total Estimate",970402,"Employed","571"
"59","Total Estimate",970402,"Male","288"
"60","Total Estimate",970402,"Female","283"
"61","Total Estimate",970402,"Unemployed","64"
"62","Total Estimate",970402,"Unemployed Males","51"
"63","Total Estimate",970402,"Unemployed Females","13"
"64","Total Estimate",970403,"Civilian Labor Force 16 Years and Over","544"
"65","Total Estimate",970403,"Employed","509"
"66","Total Estimate",970403,"Male","280"
"67","Total Estimate",970403,"Female","229"
"68","Total Estimate",970403,"Unemployed","35"
"69","Total Estimate",970403,"Unemployed Males","2"
"70","Total Estimate",970403,"Unemployed Females","33"
"71","Total Estimate",970501,"Civilian Labor Force 16 Years and Over","1,514"
"72","Total Estimate",970501,"Employed","1,449"
"73","Total Estimate",970501,"Male","699"
