"","Data Type","Census Tract","Population for Whom Poverty Status is Determined","Under 18 years","18 to 64 years","65 years and over"
"1","Percent Below Poverty Level",970101,"9.30%","11.60%","12.00%","3.50%"
"2","Percent Below Poverty Level",970102,"3.80%","10.50%","3.50%","1.40%"
"3","Percent Below Poverty Level",970103,"19.70%","21.60%","21.30%","13.80%"
"4","Percent Below Poverty Level",970200,"13.30%","11.20%","15.70%","9.10%"
"5","Percent Below Poverty Level",970301,"13.10%","25.60%","16.80%","2.50%"
"6","Percent Below Poverty Level",970304,"18.40%","22.40%","20.40%","12.10%"
"7","Percent Below Poverty Level",970305,"9.30%","8.30%","10.50%","7.30%"
"8","Percent Below Poverty Level",970401,"17.50%","12.10%","22.10%","6.80%"
"9","Percent Below Poverty Level",970402,"24.00%","48.60%","20.90%","14.20%"
"10","Percent Below Poverty Level",970403,"6.60%","6.30%","4.00%","11.70%"
"11","Percent Below Poverty Level",970501,"14.50%","20.40%","15.20%","6.60%"
"12","Percent Below Poverty Level",970502,"4.20%","0.00%","4.60%","5.80%"
"13","Percent Below Poverty Level",970503,"14.30%","25.70%","11.20%","9.70%"
"14","Percent Below Poverty Level",970504,"2.70%","1.70%","4.10%","0.00%"
"15","Percent Below Poverty Level",970601,"2.80%","0.00%","2.70%","5.20%"
"16","Percent Below Poverty Level",970602,"0.50%","0.00%","0.00%","2.60%"
"17","Percent Below Poverty Level",970603,"19.80%","22.20%","18.40%","21.80%"
"18","Percent Below Poverty Level",970606,"4.10%","2.90%","4.90%","3.50%"
"19","Percent Below Poverty Level",970701,"23.10%","35.30%","28.70%","2.60%"
"20","Percent Below Poverty Level",970702,"15.30%","24.50%","13.90%","0.30%"
"21","Percent Below Poverty Level",970703,"6.30%","0.00%","8.30%","5.70%"
"22","Percent Below Poverty Level",970704,"5.70%","17.90%","6.30%","0.00%"
"23","Percent Below Poverty Level",970801,"14.10%","26.90%","13.50%","2.30%"
"24","Percent Below Poverty Level",970804,"2.40%","2.10%","1.40%","5.90%"
"25","Percent Below Poverty Level",970805,"12.20%","15.70%","11.70%","10.00%"
"26","Percent Below Poverty Level",970806,"7.40%","6.00%","7.10%","9.20%"
"27","Percent Below Poverty Level",970903,"3.30%","0.00%","5.30%","1.50%"
"28","Percent Below Poverty Level",970904,"2.10%","0.00%","2.90%","1.80%"
"29","Percent Below Poverty Level",971003,"2.30%","0.00%","3.00%","1.90%"
"30","Percent Below Poverty Level",971103,"9.30%","16.80%","11.40%","4.60%"
