"","Data Type","Census Tract","Category","Percent of Population"
"1","Percent Below Poverty Level",970101,"Population for Whom Poverty Status is Determined","9.30%"
"2","Percent Below Poverty Level",970101,"Under 18 years","11.60%"
"3","Percent Below Poverty Level",970101,"18 to 64 years","12.00%"
"4","Percent Below Poverty Level",970101,"65 years and over","3.50%"
"5","Percent Below Poverty Level",970102,"Population for Whom Poverty Status is Determined","3.80%"
"6","Percent Below Poverty Level",970102,"Under 18 years","10.50%"
"7","Percent Below Poverty Level",970102,"18 to 64 years","3.50%"
"8","Percent Below Poverty Level",970102,"65 years and over","1.40%"
"9","Percent Below Poverty Level",970103,"Population for Whom Poverty Status is Determined","19.70%"
"10","Percent Below Poverty Level",970103,"Under 18 years","21.60%"
"11","Percent Below Poverty Level",970103,"18 to 64 years","21.30%"
"12","Percent Below Poverty Level",970103,"65 years and over","13.80%"
"13","Percent Below Poverty Level",970200,"Population for Whom Poverty Status is Determined","13.30%"
"14","Percent Below Poverty Level",970200,"Under 18 years","11.20%"
"15","Percent Below Poverty Level",970200,"18 to 64 years","15.70%"
"16","Percent Below Poverty Level",970200,"65 years and over","9.10%"
"17","Percent Below Poverty Level",970301,"Population for Whom Poverty Status is Determined","13.10%"
"18","Percent Below Poverty Level",970301,"Under 18 years","25.60%"
"19","Percent Below Poverty Level",970301,"18 to 64 years","16.80%"
"20","Percent Below Poverty Level",970301,"65 years and over","2.50%"
"21","Percent Below Poverty Level",970304,"Population for Whom Poverty Status is Determined","18.40%"
"22","Percent Below Poverty Level",970304,"Under 18 years","22.40%"
"23","Percent Below Poverty Level",970304,"18 to 64 years","20.40%"
"24","Percent Below Poverty Level",970304,"65 years and over","12.10%"
"25","Percent Below Poverty Level",970305,"Population for Whom Poverty Status is Determined","9.30%"
"26","Percent Below Poverty Level",970305,"Under 18 years","8.30%"
"27","Percent Below Poverty Level",970305,"18 to 64 years","10.50%"
"28","Percent Below Poverty Level",970305,"65 years and over","7.30%"
"29","Percent Below Poverty Level",970401,"Population for Whom Poverty Status is Determined","17.50%"
"30","Percent Below Poverty Level",970401,"Under 18 years","12.10%"
"31","Percent Below Poverty Level",970401,"18 to 64 years","22.10%"
"32","Percent Below Poverty Level",970401,"65 years and over","6.80%"
"33","Percent Below Poverty Level",970402,"Population for Whom Poverty Status is Determined","24.00%"
"34","Percent Below Poverty Level",970402,"Under 18 years","48.60%"
"35","Percent Below Poverty Level",970402,"18 to 64 years","20.90%"
"36","Percent Below Poverty Level",970402,"65 years and over","14.20%"
"37","Percent Below Poverty Level",970403,"Population for Whom Poverty Status is Determined","6.60%"
"38","Percent Below Poverty Level",970403,"Under 18 years","6.30%"
"39","Percent Below Poverty Level",970403,"18 to 64 years","4.00%"
"40","Percent Below Poverty Level",970403,"65 years and over","11.70%"
"41","Percent Below Poverty Level",970501,"Population for Whom Poverty Status is Determined","14.50%"
"42","Percent Below Poverty Level",970501,"Under 18 years","20.40%"
"43","Percent Below Poverty Level",970501,"18 to 64 years","15.20%"
"44","Percent Below Poverty Level",970501,"65 years and over","6.60%"
"45","Percent Below Poverty Level",970502,"Population for Whom Poverty Status is Determined","4.20%"
"46","Percent Below Poverty Level",970502,"Under 18 years","0.00%"
"47","Percent Below Poverty Level",970502,"18 to 64 years","4.60%"
"48","Percent Below Poverty Level",970502,"65 years and over","5.80%"
"49","Percent Below Poverty Level",970503,"Population for Whom Poverty Status is Determined","14.30%"
"50","Percent Below Poverty Level",970503,"Under 18 years","25.70%"
"51","Percent Below Poverty Level",970503,"18 to 64 years","11.20%"
"52","Percent Below Poverty Level",970503,"65 years and over","9.70%"
"53","Percent Below Poverty Level",970504,"Population for Whom Poverty Status is Determined","2.70%"
"54","Percent Below Poverty Level",970504,"Under 18 years","1.70%"
"55","Percent Below Poverty Level",970504,"18 to 64 years","4.10%"
"56","Percent Below Poverty Level",970504,"65 years and over","0.00%"
"57","Percent Below Poverty Level",970601,"Population for Whom Poverty Status is Determined","2.80%"
"58","Percent Below Poverty Level",970601,"Under 18 years","0.00%"
"59","Percent Below Poverty Level",970601,"18 to 64 years","2.70%"
"60","Percent Below Poverty Level",970601,"65 years and over","5.20%"
"61","Percent Below Poverty Level",970602,"Population for Whom Poverty Status is Determined","0.50%"
"62","Percent Below Poverty Level",970602,"Under 18 years","0.00%"
"63","Percent Below Poverty Level",970602,"18 to 64 years","0.00%"
"64","Percent Below Poverty Level",970602,"65 years and over","2.60%"
"65","Percent Below Poverty Level",970603,"Population for Whom Poverty Status is Determined","19.80%"
"66","Percent Below Poverty Level",970603,"Under 18 years","22.20%"
"67","Percent Below Poverty Level",970603,"18 to 64 years","18.40%"
"68","Percent Below Poverty Level",970603,"65 years and over","21.80%"
"69","Percent Below Poverty Level",970606,"Population for Whom Poverty Status is Determined","4.10%"
"70","Percent Below Poverty Level",970606,"Under 18 years","2.90%"
"71","Percent Below Poverty Level",970606,"18 to 64 years","4.90%"
"72","Percent Below Poverty Level",970606,"65 years and over","3.50%"
"73","Percent Below Poverty Level",970701,"Population for Whom Poverty Status is Determined","23.10%"
"74","Percent Below Poverty Level",970701,"Under 18 years","35.30%"
"75","Percent Below Poverty Level",970701,"18 to 64 years","28.70%"
"76","Percent Below Poverty Level",970701,"65 years and over","2.60%"
"77","Percent Below Poverty Level",970702,"Population for Whom Poverty Status is Determined","15.30%"
"78","Percent Below Poverty Level",970702,"Under 18 years","24.50%"
"79","Percent Below Poverty Level",970702,"18 to 64 years","13.90%"
"80","Percent Below Poverty Level",970702,"65 years and over","0.30%"
"81","Percent Below Poverty Level",970703,"Population for Whom Poverty Status is Determined","6.30%"
"82","Percent Below Poverty Level",970703,"Under 18 years","0.00%"
"83","Percent Below Poverty Level",970703,"18 to 64 years","8.30%"
"84","Percent Below Poverty Level",970703,"65 years and over","5.70%"
"85","Percent Below Poverty Level",970704,"Population for Whom Poverty Status is Determined","5.70%"
"86","Percent Below Poverty Level",970704,"Under 18 years","17.90%"
"87","Percent Below Poverty Level",970704,"18 to 64 years","6.30%"
"88","Percent Below Poverty Level",970704,"65 years and over","0.00%"
"89","Percent Below Poverty Level",970801,"Population for Whom Poverty Status is Determined","14.10%"
"90","Percent Below Poverty Level",970801,"Under 18 years","26.90%"
"91","Percent Below Poverty Level",970801,"18 to 64 years","13.50%"
"92","Percent Below Poverty Level",970801,"65 years and over","2.30%"
"93","Percent Below Poverty Level",970804,"Population for Whom Poverty Status is Determined","2.40%"
"94","Percent Below Poverty Level",970804,"Under 18 years","2.10%"
"95","Percent Below Poverty Level",970804,"18 to 64 years","1.40%"
"96","Percent Below Poverty Level",970804,"65 years and over","5.90%"
"97","Percent Below Poverty Level",970805,"Population for Whom Poverty Status is Determined","12.20%"
"98","Percent Below Poverty Level",970805,"Under 18 years","15.70%"
"99","Percent Below Poverty Level",970805,"18 to 64 years","11.70%"
"100","Percent Below Poverty Level",970805,"65 years and over","10.00%"
"101","Percent Below Poverty Level",970806,"Population for Whom Poverty Status is Determined","7.40%"
"102","Percent Below Poverty Level",970806,"Under 18 years","6.00%"
"103","Percent Below Poverty Level",970806,"18 to 64 years","7.10%"
"104","Percent Below Poverty Level",970806,"65 years and over","9.20%"
"105","Percent Below Poverty Level",970903,"Population for Whom Poverty Status is Determined","3.30%"
"106","Percent Below Poverty Level",970903,"Under 18 years","0.00%"
"107","Percent Below Poverty Level",970903,"18 to 64 years","5.30%"
"108","Percent Below Poverty Level",970903,"65 years and over","1.50%"
"109","Percent Below Poverty Level",970904,"Population for Whom Poverty Status is Determined","2.10%"
"110","Percent Below Poverty Level",970904,"Under 18 years","0.00%"
"111","Percent Below Poverty Level",970904,"18 to 64 years","2.90%"
"112","Percent Below Poverty Level",970904,"65 years and over","1.80%"
"113","Percent Below Poverty Level",971003,"Population for Whom Poverty Status is Determined","2.30%"
"114","Percent Below Poverty Level",971003,"Under 18 years","0.00%"
"115","Percent Below Poverty Level",971003,"18 to 64 years","3.00%"
"116","Percent Below Poverty Level",971003,"65 years and over","1.90%"
"117","Percent Below Poverty Level",971103,"Population for Whom Poverty Status is Determined","9.30%"
"118","Percent Below Poverty Level",971103,"Under 18 years","16.80%"
"119","Percent Below Poverty Level",971103,"18 to 64 years","11.40%"
"120","Percent Below Poverty Level",971103,"65 years and over","4.60%"
