TRACTCE,Race,Population
970101,White,868
970101,Black or African American,34
970101,American Indian and Alaska Native,0
970101,Cherokee Tribal Grouping,0
970101,Sioux Tribal Grouping,0
970101,Asian,0
970102,White,"2,280"
970102,Black or African American,45
970102,American Indian and Alaska Native,0
970102,Cherokee Tribal Grouping,0
970102,Sioux Tribal Grouping,0
970102,Asian,7
970103,White,"2,440"
970103,Black or African American,0
970103,American Indian and Alaska Native,0
970103,Cherokee Tribal Grouping,0
970103,Sioux Tribal Grouping,0
970103,Asian,0
9702,White,"1,205"
9702,Black or African American,33
9702,American Indian and Alaska Native,0
9702,Cherokee Tribal Grouping,0
9702,Sioux Tribal Grouping,0
9702,Asian,8
970301,White,"3,408"
970301,Black or African American,955
970301,American Indian and Alaska Native,91
970301,Cherokee Tribal Grouping,0
970301,Sioux Tribal Grouping,0
970301,Asian,0
970304,White,"1,916"
970304,Black or African American,202
970304,American Indian and Alaska Native,0
970304,Cherokee Tribal Grouping,0
970304,Sioux Tribal Grouping,0
970304,Asian,0
970305,White,"1,437"
970305,Black or African American,401
970305,American Indian and Alaska Native,7
970305,Cherokee Tribal Grouping,0
970305,Sioux Tribal Grouping,0
970305,Asian,11
970401,White,"1,256"
970401,Black or African American,149
970401,American Indian and Alaska Native,0
970401,Cherokee Tribal Grouping,0
970401,Sioux Tribal Grouping,0
970401,Asian,15
970402,White,979
970402,Black or African American,227
970402,American Indian and Alaska Native,11
970402,Cherokee Tribal Grouping,0
970402,Sioux Tribal Grouping,0
970402,Asian,15
970403,White,893
970403,Black or African American,19
970403,American Indian and Alaska Native,0
970403,Cherokee Tribal Grouping,0
970403,Sioux Tribal Grouping,0
970403,Asian,0
970501,White,"2,648"
970501,Black or African American,65
970501,American Indian and Alaska Native,0
970501,Cherokee Tribal Grouping,0
970501,Sioux Tribal Grouping,0
970501,Asian,56
970502,White,"2,146"
970502,Black or African American,34
970502,American Indian and Alaska Native,4
970502,Cherokee Tribal Grouping,0
970502,Sioux Tribal Grouping,0
970502,Asian,0
970503,White,"1,707"
970503,Black or African American,109
970503,American Indian and Alaska Native,0
970503,Cherokee Tribal Grouping,0
970503,Sioux Tribal Grouping,0
970503,Asian,92
970504,White,"1,537"
970504,Black or African American,47
970504,American Indian and Alaska Native,0
970504,Cherokee Tribal Grouping,0
970504,Sioux Tribal Grouping,0
970504,Asian,106
970601,White,"1,016"
970601,Black or African American,13
970601,American Indian and Alaska Native,3
970601,Cherokee Tribal Grouping,0
970601,Sioux Tribal Grouping,0
970601,Asian,0
970602,White,992
970602,Black or African American,0
970602,American Indian and Alaska Native,0
970602,Cherokee Tribal Grouping,0
970602,Sioux Tribal Grouping,0
970602,Asian,113
970603,White,"1,139"
970603,Black or African American,48
970603,American Indian and Alaska Native,0
970603,Cherokee Tribal Grouping,0
970603,Sioux Tribal Grouping,0
970603,Asian,0
970606,White,"3,389"
970606,Black or African American,36
970606,American Indian and Alaska Native,0
970606,Cherokee Tribal Grouping,0
970606,Sioux Tribal Grouping,0
970606,Asian,137
970701,White,"1,099"
970701,Black or African American,22
970701,American Indian and Alaska Native,8
970701,Cherokee Tribal Grouping,0
970701,Sioux Tribal Grouping,3
970701,Asian,40
970702,White,"3,493"
970702,Black or African American,24
970702,American Indian and Alaska Native,8
970702,Cherokee Tribal Grouping,0
970702,Sioux Tribal Grouping,0
970702,Asian,30
970703,White,"3,715"
970703,Black or African American,221
970703,American Indian and Alaska Native,0
970703,Cherokee Tribal Grouping,0
970703,Sioux Tribal Grouping,0
970703,Asian,58
970704,White,"1,941"
970704,Black or African American,34
970704,American Indian and Alaska Native,16
970704,Cherokee Tribal Grouping,0
970704,Sioux Tribal Grouping,0
970704,Asian,0
970801,White,"2,711"
970801,Black or African American,104
970801,American Indian and Alaska Native,17
970801,Cherokee Tribal Grouping,0
970801,Sioux Tribal Grouping,0
970801,Asian,29
970804,White,"3,578"
970804,Black or African American,89
970804,American Indian and Alaska Native,9
970804,Cherokee Tribal Grouping,0
970804,Sioux Tribal Grouping,0
970804,Asian,69
970805,White,"1,375"
970805,Black or African American,12
970805,American Indian and Alaska Native,3
970805,Cherokee Tribal Grouping,0
970805,Sioux Tribal Grouping,0
970805,Asian,59
970806,White,"4,013"
970806,Black or African American,42
970806,American Indian and Alaska Native,4
970806,Cherokee Tribal Grouping,0
970806,Sioux Tribal Grouping,4
970806,Asian,22
970903,White,914
970903,Black or African American,7
970903,American Indian and Alaska Native,2
970903,Cherokee Tribal Grouping,0
970903,Sioux Tribal Grouping,0
970903,Asian,0
970904,White,"2,605"
970904,Black or African American,7
970904,American Indian and Alaska Native,40
970904,Cherokee Tribal Grouping,4
970904,Sioux Tribal Grouping,0
970904,Asian,0
971003,White,"1,692"
971003,Black or African American,10
971003,American Indian and Alaska Native,5
971003,Cherokee Tribal Grouping,0
971003,Sioux Tribal Grouping,0
971003,Asian,11
971103,White,"1,737"
971103,Black or African American,32
971103,American Indian and Alaska Native,1
971103,Cherokee Tribal Grouping,0
971103,Sioux Tribal Grouping,0
971103,Asian,0
