Data Type,Census Tract,White,Black or African American,American Indian and Alaska Native,Cherokee Tribal Grouping,Sioux Tribal Grouping,Asian,Asian Indian,Chinese,Filipino
NA,970101,92.30%,3.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NA,970102,95.30%,1.90%,0.00%,0.00%,0.00%,0.30%,0.00%,0.30%,0.00%
NA,970103,98.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NA,9702,96.40%,2.60%,0.00%,0.00%,0.00%,0.60%,0.00%,0.60%,0.00%
NA,970301,72.70%,20.40%,1.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NA,970304,82.40%,8.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NA,970305,74.20%,20.70%,0.40%,0.00%,0.00%,0.60%,0.50%,0.00%,0.10%
NA,970401,87.00%,10.30%,0.00%,0.00%,0.00%,1.00%,1.00%,0.00%,0.00%
NA,970402,72.50%,16.80%,0.80%,0.00%,0.00%,1.10%,0.00%,1.10%,0.00%
NA,970403,74.70%,1.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NA,970501,87.30%,2.10%,0.00%,0.00%,0.00%,1.80%,0.00%,0.00%,1.80%
NA,970502,97.40%,1.50%,0.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NA,970503,79.00%,5.00%,0.00%,0.00%,0.00%,4.30%,3.40%,0.00%,0.00%
NA,970504,82.60%,2.50%,0.00%,0.00%,0.00%,5.70%,2.10%,0.00%,2.00%
NA,970601,95.00%,1.20%,0.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NA,970602,89.80%,0.00%,0.00%,0.00%,0.00%,10.20%,0.00%,0.00%,0.00%
NA,970603,78.40%,3.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NA,970606,90.00%,1.00%,0.00%,0.00%,0.00%,3.60%,0.00%,0.00%,0.30%
NA,970701,91.00%,1.80%,0.70%,0.00%,0.20%,3.30%,0.00%,3.30%,0.00%
NA,970702,96.30%,0.70%,0.20%,0.00%,0.00%,0.80%,0.00%,0.00%,0.00%
NA,970703,88.20%,5.20%,0.00%,0.00%,0.00%,1.40%,0.00%,0.00%,0.60%
NA,970704,89.80%,1.60%,0.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NA,970801,93.00%,3.60%,0.60%,0.00%,0.00%,1.00%,0.00%,0.00%,1.00%
NA,970804,91.60%,2.30%,0.20%,0.00%,0.00%,1.80%,0.00%,0.00%,0.10%
NA,970805,84.10%,0.70%,0.20%,0.00%,0.00%,3.60%,2.40%,0.00%,0.00%
NA,970806,94.10%,1.00%,0.10%,0.00%,0.10%,0.50%,0.00%,0.00%,0.50%
NA,970903,86.60%,0.70%,0.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NA,970904,93.40%,0.30%,1.40%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%
NA,971003,97.50%,0.60%,0.30%,0.00%,0.00%,0.60%,0.00%,0.60%,0.00%
NA,971103,97.30%,1.80%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
