Label (Grouping),SEX AND AGE,    Total population,        Male,        Female,        Sex ratio (males per 100 females),        Under 5 years,        5 to 9 years,        10 to 14 years,        15 to 19 years,        20 to 24 years,        25 to 34 years,        35 to 44 years,        45 to 54 years,        55 to 59 years,        60 to 64 years,        65 to 74 years,        75 to 84 years,        85 years and over,        Median age (years),        Under 18 years,        16 years and over,        18 years and over,        21 years and over,        62 years and over,        65 years and over,        18 years and over,            Male,            Female,            Sex ratio (males per 100 females),        65 years and over,            Male,            Female,            Sex ratio (males per 100 females),RACE,    Total population,        One race,        Two or more races,        One race,            White,            Black or African American,            American Indian and Alaska Native,                Cherokee tribal grouping,                Chippewa tribal grouping,                Navajo tribal grouping,                Sioux tribal grouping,            Asian,                Asian Indian,                Chinese,                Filipino,                Japanese,                Korean,                Vietnamese,                Other Asian,            Native Hawaiian and Other Pacific Islander,                Native Hawaiian,                Chamorro,                Samoan,                Other Pacific Islander,            Some other race,        Two or more races,            White and Black or African American,            White and American Indian and Alaska Native,            White and Asian,            Black or African American and American Indian and Alaska Native,Race alone or in combination with one or more other races,    Total population,        White,        Black or African American,        American Indian and Alaska Native,        Asian,        Native Hawaiian and Other Pacific Islander,        Some other race,HISPANIC OR LATINO AND RACE,    Total population,        Hispanic or Latino (of any race),            Mexican,            Puerto Rican,            Cuban,            Other Hispanic or Latino,        Not Hispanic or Latino,            White alone,            Black or African American alone,            American Indian and Alaska Native alone,            Asian alone,            Native Hawaiian and Other Pacific Islander alone,            Some other race alone,            Two or more races,                Two races including Some other race,"                Two races excluding Some other race, and Three or more races",Total housing units,"CITIZEN, VOTING AGE POPULATION","    Citizen, 18 and over population",        Male,        Female
"Census Tract 9701.01, Carteret County, North Carolina!!Estimate",,940,497,443,112.2,65,37,68,8,30,134,47,118,38,98,159,92,46,50.3,173,770,767,761,356,297,767,354,413,85.7,297,127,170,74.7,,940,937,3,937,868,34,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,33,3,3,0,0,0,,940,871,37,0,0,2,33,,940,39,39,0,0,0,901,862,34,0,0,2,0,3,0,3,685,,757,352,405
"Census Tract 9701.01, Carteret County, North Carolina!!Margin of Error",,±270,±182,±119,±33.7,±55,±26,±87,±22,±42,±100,±37,±78,±38,±51,±65,±52,±40,±16.7,±136,±181,±174,±170,±109,±95,±174,±83,±116,±23.2,±95,±44,±67,±29.0,,±270,±270,±7,±270,±252,±33,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±4,±13,±13,±13,±4,±120,±7,±7,±13,±13,±13,,±270,±253,±35,±13,±13,±4,±120,,±270,±120,±120,±13,±13,±13,±257,±251,±33,±13,±13,±4,±13,±7,±13,±7,±95,,±166,±79,±113
"Census Tract 9701.01, Carteret County, North Carolina!!Percent",,940,52.90%,47.10%,(X),6.90%,3.90%,7.20%,0.90%,3.20%,14.30%,5.00%,12.60%,4.00%,10.40%,16.90%,9.80%,4.90%,(X),18.40%,81.90%,81.60%,81.00%,37.90%,31.60%,767,46.20%,53.80%,(X),297,42.80%,57.20%,(X),,940,99.70%,0.30%,99.70%,92.30%,3.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.20%,0.00%,0.00%,0.00%,0.20%,3.50%,0.30%,0.30%,0.00%,0.00%,0.00%,,940,92.70%,3.90%,0.00%,0.00%,0.20%,3.50%,,940,4.10%,4.10%,0.00%,0.00%,0.00%,95.90%,91.70%,3.60%,0.00%,0.00%,0.20%,0.00%,0.30%,0.00%,0.30%,(X),,757,46.50%,53.50%
"Census Tract 9701.01, Carteret County, North Carolina!!Percent Margin of Error",,(X),±7.3,±7.3,(X),±4.4,±3.3,±7.7,±2.4,±4.5,±8.7,±3.9,±8.0,±4.0,±5.8,±7.7,±6.1,±4.3,(X),±10.6,±10.4,±10.6,±10.7,±13.8,±11.8,(X),±6.5,±6.5,(X),(X),±9.3,±9.3,(X),,(X),±0.7,±0.7,±0.7,±12.8,±3.6,±4.2,±4.2,±4.2,±4.2,±4.2,±4.2,±4.2,±4.2,±4.2,±4.2,±4.2,±4.2,±4.2,±0.5,±4.2,±4.2,±4.2,±0.5,±12.8,±0.7,±0.7,±4.2,±4.2,±4.2,,(X),±13.0,±3.8,±4.2,±4.2,±0.5,±12.8,,(X),±12.7,±12.7,±4.2,±4.2,±4.2,±12.7,±12.7,±3.6,±4.2,±4.2,±0.5,±4.2,±0.7,±4.2,±0.7,(X),,(X),±6.6,±6.6
"Census Tract 9701.02, Carteret County, North Carolina!!Estimate",,"2,392","1,000","1,392",71.8,113,33,77,108,69,166,183,321,181,370,501,263,7,58.7,324,"2,162","2,068","2,037","1,049",771,"2,068",915,"1,153",79.4,771,289,482,60,,"2,392","2,332",60,"2,332","2,280",45,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,60,0,60,0,0,,"2,392","2,340",45,60,7,0,0,,"2,392",28,0,0,19,9,"2,364","2,261",45,0,7,0,0,51,0,51,"1,730",,"2,068",915,"1,153"
"Census Tract 9701.02, Carteret County, North Carolina!!Margin of Error",,±394,±183,±288,±16.0,±70,±29,±44,±68,±60,±116,±83,±109,±79,±227,±196,±119,±11,±5.2,±102,±369,±356,±347,±291,±203,±356,±164,±259,±18.2,±203,±107,±133,±21.7,,±394,±394,±57,±394,±398,±56,±13,±13,±13,±13,±13,±17,±13,±17,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±57,±13,±57,±13,±13,,±394,±398,±56,±57,±17,±13,±13,,±394,±36,±13,±13,±33,±14,±405,±412,±56,±13,±17,±13,±13,±53,±13,±53,±268,,±356,±164,±259
"Census Tract 9701.02, Carteret County, North Carolina!!Percent",,"2,392",41.80%,58.20%,(X),4.70%,1.40%,3.20%,4.50%,2.90%,6.90%,7.70%,13.40%,7.60%,15.50%,20.90%,11.00%,0.30%,(X),13.50%,90.40%,86.50%,85.20%,43.90%,32.20%,"2,068",44.20%,55.80%,(X),771,37.50%,62.50%,(X),,"2,392",97.50%,2.50%,97.50%,95.30%,1.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.30%,0.00%,0.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.50%,0.00%,2.50%,0.00%,0.00%,,"2,392",97.80%,1.90%,2.50%,0.30%,0.00%,0.00%,,"2,392",1.20%,0.00%,0.00%,0.80%,0.40%,98.80%,94.50%,1.90%,0.00%,0.30%,0.00%,0.00%,2.10%,0.00%,2.10%,(X),,"2,068",44.20%,55.80%
"Census Tract 9701.02, Carteret County, North Carolina!!Percent Margin of Error",,(X),±5.4,±5.4,(X),±2.8,±1.2,±1.9,±2.7,±2.4,±4.8,±3.3,±4.6,±3.5,±8.4,±7.3,±5.0,±0.4,(X),±3.8,±3.3,±3.8,±4.0,±8.1,±7.0,(X),±5.7,±5.7,(X),(X),±8.4,±8.4,(X),,(X),±2.4,±2.4,±2.4,±3.5,±2.4,±1.7,±1.7,±1.7,±1.7,±1.7,±0.7,±1.7,±0.7,±1.7,±1.7,±1.7,±1.7,±1.7,±1.7,±1.7,±1.7,±1.7,±1.7,±1.7,±2.4,±1.7,±2.4,±1.7,±1.7,,(X),±2.5,±2.4,±2.4,±0.7,±1.7,±1.7,,(X),±1.6,±1.7,±1.7,±1.5,±0.6,±1.6,±4.3,±2.4,±1.7,±0.7,±1.7,±1.7,±2.3,±1.7,±2.3,(X),,(X),±5.7,±5.7
"Census Tract 9701.03, Carteret County, North Carolina!!Estimate",,"2,477","1,325","1,152",115,42,88,73,184,76,254,204,358,370,270,319,109,130,53.7,287,"2,236","2,190","2,080",769,558,"2,190","1,128","1,062",106.2,558,259,299,86.6,,"2,477","2,454",23,"2,454","2,440",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,23,14,3,6,0,,"2,477","2,463",14,3,6,0,14,,"2,477",0,0,0,0,0,"2,477","2,440",0,0,0,0,14,23,0,23,"1,645",,"2,190","1,128","1,062"
"Census Tract 9701.03, Carteret County, North Carolina!!Margin of Error",,±357,±261,±158,±21.7,±41,±58,±58,±96,±61,±129,±114,±125,±155,±82,±92,±58,±91,±4.3,±128,±332,±334,±300,±150,±135,±334,±238,±147,±20.1,±135,±67,±111,±38.3,,±357,±356,±27,±356,±356,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±20,±27,±21,±6,±18,±13,,±357,±357,±21,±6,±18,±13,±20,,±357,±13,±13,±13,±13,±13,±357,±356,±13,±13,±13,±13,±20,±27,±13,±27,±155,,±334,±238,±147
