Label (Grouping),SEX AND AGE,    Total population,        Male,        Female,        Sex ratio (males per 100 females),        Under 5 years,        5 to 9 years,        10 to 14 years,        15 to 19 years,        20 to 24 years,        25 to 34 years,        35 to 44 years,        45 to 54 years,        55 to 59 years,        60 to 64 years,        65 to 74 years,        75 to 84 years,        85 years and over,        Median age (years),        Under 18 years,        16 years and over,        18 years and over,        21 years and over,        62 years and over,        65 years and over,        18 years and over,            Male,            Female,            Sex ratio (males per 100 females),        65 years and over,            Male,            Female,            Sex ratio (males per 100 females),RACE,    Total population,        One race,        Two or more races,        One race,            White,            Black or African American,            American Indian and Alaska Native,                Cherokee tribal grouping,                Chippewa tribal grouping,                Navajo tribal grouping,                Sioux tribal grouping,            Asian,                Asian Indian,                Chinese,                Filipino,                Japanese,                Korean,                Vietnamese,                Other Asian,            Native Hawaiian and Other Pacific Islander,                Native Hawaiian,                Chamorro,                Samoan,                Other Pacific Islander,            Some other race,        Two or more races,            White and Black or African American,            White and American Indian and Alaska Native,            White and Asian,            Black or African American and American Indian and Alaska Native,Race alone or in combination with one or more other races,    Total population,        White,        Black or African American,        American Indian and Alaska Native,        Asian,        Native Hawaiian and Other Pacific Islander,        Some other race,HISPANIC OR LATINO AND RACE,    Total population,        Hispanic or Latino (of any race),            Mexican,            Puerto Rican,            Cuban,            Other Hispanic or Latino,        Not Hispanic or Latino,            White alone,            Black or African American alone,            American Indian and Alaska Native alone,            Asian alone,            Native Hawaiian and Other Pacific Islander alone,            Some other race alone,            Two or more races,                Two races including Some other race,"                Two races excluding Some other race, and Three or more races",Total housing units,"CITIZEN, VOTING AGE POPULATION","    Citizen, 18 and over population",        Male,        Female
"Carteret County, North Carolina!!Estimate",,"67,944","33,553","34,391",97.6,"2,727","3,099","3,788","3,649","2,990","6,531","7,539","8,886","5,151","6,495","10,551","4,920","1,618",49.4,"11,889","57,614","56,055","54,230","21,286","17,089","56,055","27,256","28,799",94.6,"17,089","7,963","9,126",87.3,,"67,944","65,043","2,901","65,043","60,129","3,021",229,4,0,0,7,878,175,81,186,80,2,278,76,31,18,7,0,6,755,"2,901","1,144",479,161,213,,"67,944","62,697","4,672","1,249","1,244",219,"1,227",,"67,944","3,025","1,541",536,155,793,"64,919","58,433","3,001",208,878,31,118,"2,250",202,"2,048","50,642",,"55,220","26,783","28,437"
"Carteret County, North Carolina!!Percent",,"67,944",49.40%,50.60%,(X),4.00%,4.60%,5.60%,5.40%,4.40%,9.60%,11.10%,13.10%,7.60%,9.60%,15.50%,7.20%,2.40%,(X),17.50%,84.80%,82.50%,79.80%,31.30%,25.20%,"56,055",48.60%,51.40%,(X),"17,089",46.60%,53.40%,(X),,"67,944",95.70%,4.30%,95.70%,88.50%,4.40%,0.30%,0.00%,0.00%,0.00%,0.00%,1.30%,0.30%,0.10%,0.30%,0.10%,0.00%,0.40%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,1.10%,4.30%,1.70%,0.70%,0.20%,0.30%,,"67,944",92.30%,6.90%,1.80%,1.80%,0.30%,1.80%,,"67,944",4.50%,2.30%,0.80%,0.20%,1.20%,95.50%,86.00%,4.40%,0.30%,1.30%,0.00%,0.20%,3.30%,0.30%,3.00%,(X),,"55,220",48.50%,51.50%
"Census Tract 9701.01, Carteret County, North Carolina!!Estimate",,940,497,443,112.2,65,37,68,8,30,134,47,118,38,98,159,92,46,50.3,173,770,767,761,356,297,767,354,413,85.7,297,127,170,74.7,,940,937,3,937,868,34,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,33,3,3,0,0,0,,940,871,37,0,0,2,33,,940,39,39,0,0,0,901,862,34,0,0,2,0,3,0,3,685,,757,352,405
"Census Tract 9701.01, Carteret County, North Carolina!!Percent",,940,52.90%,47.10%,(X),6.90%,3.90%,7.20%,0.90%,3.20%,14.30%,5.00%,12.60%,4.00%,10.40%,16.90%,9.80%,4.90%,(X),18.40%,81.90%,81.60%,81.00%,37.90%,31.60%,767,46.20%,53.80%,(X),297,42.80%,57.20%,(X),,940,99.70%,0.30%,99.70%,92.30%,3.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.20%,0.00%,0.00%,0.00%,0.20%,3.50%,0.30%,0.30%,0.00%,0.00%,0.00%,,940,92.70%,3.90%,0.00%,0.00%,0.20%,3.50%,,940,4.10%,4.10%,0.00%,0.00%,0.00%,95.90%,91.70%,3.60%,0.00%,0.00%,0.20%,0.00%,0.30%,0.00%,0.30%,(X),,757,46.50%,53.50%
"Census Tract 9701.02, Carteret County, North Carolina!!Estimate",,"2,392","1,000","1,392",71.8,113,33,77,108,69,166,183,321,181,370,501,263,7,58.7,324,"2,162","2,068","2,037","1,049",771,"2,068",915,"1,153",79.4,771,289,482,60,,"2,392","2,332",60,"2,332","2,280",45,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,60,0,60,0,0,,"2,392","2,340",45,60,7,0,0,,"2,392",28,0,0,19,9,"2,364","2,261",45,0,7,0,0,51,0,51,"1,730",,"2,068",915,"1,153"
"Census Tract 9701.02, Carteret County, North Carolina!!Percent",,"2,392",41.80%,58.20%,(X),4.70%,1.40%,3.20%,4.50%,2.90%,6.90%,7.70%,13.40%,7.60%,15.50%,20.90%,11.00%,0.30%,(X),13.50%,90.40%,86.50%,85.20%,43.90%,32.20%,"2,068",44.20%,55.80%,(X),771,37.50%,62.50%,(X),,"2,392",97.50%,2.50%,97.50%,95.30%,1.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.30%,0.00%,0.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.50%,0.00%,2.50%,0.00%,0.00%,,"2,392",97.80%,1.90%,2.50%,0.30%,0.00%,0.00%,,"2,392",1.20%,0.00%,0.00%,0.80%,0.40%,98.80%,94.50%,1.90%,0.00%,0.30%,0.00%,0.00%,2.10%,0.00%,2.10%,(X),,"2,068",44.20%,55.80%
"Census Tract 9701.03, Carteret County, North Carolina!!Estimate",,"2,477","1,325","1,152",115,42,88,73,184,76,254,204,358,370,270,319,109,130,53.7,287,"2,236","2,190","2,080",769,558,"2,190","1,128","1,062",106.2,558,259,299,86.6,,"2,477","2,454",23,"2,454","2,440",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,23,14,3,6,0,,"2,477","2,463",14,3,6,0,14,,"2,477",0,0,0,0,0,"2,477","2,440",0,0,0,0,14,23,0,23,"1,645",,"2,190","1,128","1,062"
"Census Tract 9701.03, Carteret County, North Carolina!!Percent",,"2,477",53.50%,46.50%,(X),1.70%,3.60%,2.90%,7.40%,3.10%,10.30%,8.20%,14.50%,14.90%,10.90%,12.90%,4.40%,5.20%,(X),11.60%,90.30%,88.40%,84.00%,31.00%,22.50%,"2,190",51.50%,48.50%,(X),558,46.40%,53.60%,(X),,"2,477",99.10%,0.90%,99.10%,98.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.60%,0.90%,0.60%,0.10%,0.20%,0.00%,,"2,477",99.40%,0.60%,0.10%,0.20%,0.00%,0.60%,,"2,477",0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,98.50%,0.00%,0.00%,0.00%,0.00%,0.60%,0.90%,0.00%,0.90%,(X),,"2,190",51.50%,48.50%
"Census Tract 9702, Carteret County, North Carolina!!Estimate",,"1,250",571,679,84.1,56,22,82,45,66,141,83,154,86,176,232,74,33,53.8,178,"1,090","1,072","1,045",479,339,"1,072",459,613,74.9,339,196,143,137.1,,"1,250","1,246",4,"1,246","1,205",33,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,"1,250","1,209",37,0,8,0,0,,"1,250",50,0,0,0,50,"1,200","1,155",33,0,8,0,0,4,0,4,"1,138",,"1,072",459,613
"Census Tract 9702, Carteret County, North Carolina!!Percent",,"1,250",45.70%,54.30%,(X),4.50%,1.80%,6.60%,3.60%,5.30%,11.30%,6.60%,12.30%,6.90%,14.10%,18.60%,5.90%,2.60%,(X),14.20%,87.20%,85.80%,83.60%,38.30%,27.10%,"1,072",42.80%,57.20%,(X),339,57.80%,42.20%,(X),,"1,250",99.70%,0.30%,99.70%,96.40%,2.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.60%,0.00%,0.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.30%,0.30%,0.00%,0.00%,0.00%,,"1,250",96.70%,3.00%,0.00%,0.60%,0.00%,0.00%,,"1,250",4.00%,0.00%,0.00%,0.00%,4.00%,96.00%,92.40%,2.60%,0.00%,0.60%,0.00%,0.00%,0.30%,0.00%,0.30%,(X),,"1,072",42.80%,57.20%
