Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,    Population 18 to 24 years,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree or higher,    Population 25 years and over,        Less than 9th grade,"        9th to 12th grade, no diploma",        High school graduate (includes equivalency),"        Some college, no degree",        Associate's degree,        Bachelor's degree,        Graduate or professional degree,        High school graduate or higher,        Bachelor's degree or higher,    Population 25 to 34 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 35 to 44 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 45 to 64 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 65 years and over,        High school graduate or higher,        Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"    White alone, not Hispanic or Latino",        High school graduate or higher,        Bachelor's degree or higher,    Black alone,        High school graduate or higher,        Bachelor's degree or higher,    American Indian or Alaska Native alone,        High school graduate or higher,        Bachelor's degree or higher,    Asian alone,        High school graduate or higher,        Bachelor's degree or higher,    Native Hawaiian and Other Pacific Islander alone,        High school graduate or higher,        Bachelor's degree or higher,    Some other race alone,        High school graduate or higher,        Bachelor's degree or higher,    Two or more races,        High school graduate or higher,        Bachelor's degree or higher,    Hispanic or Latino Origin,        High school graduate or higher,        Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
"Carteret County, North Carolina!!Total!!Estimate",,"4,364",703,"1,669","1,676",316,"51,691","1,014","3,080","12,350","13,568","6,096","9,364","6,219","47,597","15,583","6,531","6,150","2,235","7,539","6,966","2,138","20,532","18,814","5,747","17,089","15,667","5,463",,"46,773","43,433","14,578","45,911","42,739","14,247","2,366","1,918",298,153,111,49,632,565,305,19,16,10,298,277,51,"1,450","1,277",292,"1,452","1,196",379,,(X),(X),(X),(X),,"36,615","23,580","29,903","34,014","50,184","63,963"
"Carteret County, North Carolina!!Total!!Margin of Error",,±159,±154,±226,±206,±115,±154,±181,±433,±662,±679,±462,±587,±422,±501,±700,±195,±255,±334,±202,±229,±286,±242,±390,±390,±103,±221,±340,,±205,±482,±698,±137,±445,±680,±224,±259,±139,±66,±39,±28,±74,±90,±98,±17,±15,±11,±139,±131,±39,±287,±261,±93,±35,±117,±163,,(X),(X),(X),(X),,"±1,593","±3,520","±2,482","±1,540","±2,705","±4,675"
"Carteret County, North Carolina!!Percent!!Estimate",,(X),16.10%,38.20%,38.40%,7.20%,(X),2.00%,6.00%,23.90%,26.20%,11.80%,18.10%,12.00%,92.10%,30.10%,(X),94.20%,34.20%,(X),92.40%,28.40%,(X),91.60%,28.00%,(X),91.70%,32.00%,,(X),92.90%,31.20%,(X),93.10%,31.00%,(X),81.10%,12.60%,(X),72.50%,32.00%,(X),89.40%,48.30%,(X),84.20%,52.60%,(X),93.00%,17.10%,(X),88.10%,20.10%,(X),82.40%,26.10%,,20.00%,10.70%,9.30%,3.70%,,(X),(X),(X),(X),(X),(X)
"Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±3.4,±5.0,±4.4,±2.7,(X),±0.4,±0.8,±1.3,±1.3,±0.9,±1.1,±0.8,±0.9,±1.3,(X),±2.7,±5.1,(X),±1.9,±3.8,(X),±1.4,±1.8,(X),±1.2,±2.0,,(X),±0.9,±1.5,(X),±0.9,±1.5,(X),±6.7,±5.8,(X),±15.8,±20.8,(X),±7.5,±14.7,(X),±24.3,±38.5,(X),±10.3,±12.1,(X),±6.1,±7.2,(X),±7.6,±11.2,,±4.6,±2.0,±1.5,±1.0,,(X),(X),(X),(X),(X),(X)
"Carteret County, North Carolina!!Male!!Estimate",,"2,348",503,922,839,84,"24,908",557,"1,815","6,201","6,631","2,326","4,429","2,949","22,536","7,378","3,338","3,043",985,"3,682","3,279",906,"9,925","8,811","2,482","7,963","7,403","3,005",,"22,539","20,488","6,950","22,026","20,123","6,740","1,182",968,78,61,24,15,245,245,134,12,12,6,202,190,24,667,609,171,811,625,231,,(X),(X),(X),(X),,"42,699","31,266","35,261","39,547","64,487","87,727"
"Carteret County, North Carolina!!Male!!Margin of Error",,±121,±155,±166,±176,±49,±125,±141,±270,±457,±419,±258,±354,±252,±330,±424,±174,±220,±205,±151,±176,±180,±173,±265,±256,±65,±141,±268,,±127,±333,±439,±70,±305,±426,±166,±201,±56,±34,±16,±14,±46,±46,±60,±14,±14,±9,±111,±105,±26,±176,±166,±82,±29,±117,±119,,(X),(X),(X),(X),,"±1,997","±6,410","±2,800","±2,139","±6,976","±13,988"
"Carteret County, North Carolina!!Percent Male!!Estimate",,(X),21.40%,39.30%,35.70%,3.60%,(X),2.20%,7.30%,24.90%,26.60%,9.30%,17.80%,11.80%,90.50%,29.60%,(X),91.20%,29.50%,(X),89.10%,24.60%,(X),88.80%,25.00%,(X),93.00%,37.70%,,(X),90.90%,30.80%,(X),91.40%,30.60%,(X),81.90%,6.60%,(X),39.30%,24.60%,(X),100.00%,54.70%,(X),100.00%,50.00%,(X),94.10%,11.90%,(X),91.30%,25.60%,(X),77.10%,28.50%,,17.10%,9.60%,5.40%,3.10%,,(X),(X),(X),(X),(X),(X)
"Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±6.5,±7.2,±7.0,±2.1,(X),±0.6,±1.1,±1.8,±1.7,±1.0,±1.4,±1.0,±1.3,±1.7,(X),±4.9,±6.2,(X),±3.7,±4.8,(X),±1.9,±2.4,(X),±1.5,±3.3,,(X),±1.3,±1.9,(X),±1.3,±1.9,(X),±9.1,±4.7,(X),±29.5,±20.8,(X),±15.0,±22.5,(X),±95.0,±50.0,(X),±11.6,±12.6,(X),±7.2,±11.9,(X),±13.3,±14.8,,±5.7,±2.0,±2.0,±1.2,,(X),(X),(X),(X),(X),(X)
"Carteret County, North Carolina!!Female!!Estimate",,"2,016",200,747,837,232,"26,783",457,"1,265","6,149","6,937","3,770","4,935","3,270","25,061","8,205","3,193","3,107","1,250","3,857","3,687","1,232","10,607","10,003","3,265","9,126","8,264","2,458",,"24,234","22,945","7,628","23,885","22,616","7,507","1,184",950,220,92,87,34,387,320,171,7,4,4,96,87,27,783,668,121,641,571,148,,(X),(X),(X),(X),,"30,982","19,357","21,227","30,500","43,146","52,799"
"Carteret County, North Carolina!!Female!!Margin of Error",,±102,±70,±158,±126,±108,±103,±128,±267,±475,±467,±376,±392,±316,±312,±439,±106,±122,±179,±111,±134,±177,±119,±219,±267,±66,±177,±212,,±105,±270,±415,±75,±257,±404,±120,±122,±105,±46,±41,±25,±53,±64,±65,±11,±6,±6,±53,±52,±32,±156,±149,±44,±20,±47,±65,,(X),(X),(X),(X),,"±1,194","±3,667","±3,275","±1,945","±2,522","±5,427"
"Carteret County, North Carolina!!Percent Female!!Estimate",,(X),9.90%,37.10%,41.50%,11.50%,(X),1.70%,4.70%,23.00%,25.90%,14.10%,18.40%,12.20%,93.60%,30.60%,(X),97.30%,39.10%,(X),95.60%,31.90%,(X),94.30%,30.80%,(X),90.60%,26.90%,,(X),94.70%,31.50%,(X),94.70%,31.40%,(X),80.20%,18.60%,(X),94.60%,37.00%,(X),82.70%,44.20%,(X),57.10%,57.10%,(X),90.60%,28.10%,(X),85.30%,15.50%,(X),89.10%,23.10%,,23.90%,11.70%,12.50%,4.20%,,(X),(X),(X),(X),(X),(X)
"Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),±3.4,±6.9,±6.3,±5.5,(X),±0.5,±1.0,±1.8,±1.7,±1.4,±1.5,±1.2,±1.1,±1.6,(X),±1.5,±5.6,(X),±2.4,±4.7,(X),±1.7,±2.4,(X),±2.0,±2.4,,(X),±1.0,±1.7,(X),±1.0,±1.7,(X),±7.1,±9.2,(X),±15.9,±26.8,(X),±11.8,±16.6,(X),±21.2,±21.2,(X),±14.5,±27.4,(X),±8.4,±6.4,(X),±7.3,±10.1,,±7.0,±3.0,±2.1,±1.5,,(X),(X),(X),(X),(X),(X)
"Census Tract 9701.01, Carteret County, North Carolina!!Total!!Estimate",,35,0,29,6,0,732,15,90,319,157,65,51,35,627,86,134,134,0,47,47,8,254,209,11,297,237,67,,672,585,86,666,585,86,34,18,0,0,0,0,0,0,0,2,2,0,21,19,0,3,3,0,27,19,0,,(X),(X),(X),(X),,"22,097","62,159","16,111","38,000",-,-
"Census Tract 9701.01, Carteret County, North Carolina!!Total!!Margin of Error",,±44,±13,±38,±11,±13,±168,±25,±41,±137,±54,±43,±34,±29,±168,±45,±100,±100,±13,±37,±37,±16,±96,±85,±11,±95,±88,±42,,±157,±156,±45,±156,±156,±45,±33,±33,±13,±13,±13,±13,±13,±13,±13,±4,±4,±13,±38,±28,±13,±7,±7,±13,±39,±28,±13,,(X),(X),(X),(X),,"±11,492","±23,512","±1,747","±37,297",**,**
"Census Tract 9701.01, Carteret County, North Carolina!!Percent!!Estimate",,(X),0.00%,82.90%,17.10%,0.00%,(X),2.00%,12.30%,43.60%,21.40%,8.90%,7.00%,4.80%,85.70%,11.70%,(X),100.00%,0.00%,(X),100.00%,17.00%,(X),82.30%,4.30%,(X),79.80%,22.60%,,(X),87.10%,12.80%,(X),87.80%,12.90%,(X),52.90%,0.00%,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),90.50%,0.00%,(X),100.00%,0.00%,(X),70.40%,0.00%,,2.70%,14.00%,7.00%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9701.01, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±55.6,±32.0,±32.0,±55.6,(X),±3.5,±6.1,±11.1,±8.0,±6.2,±4.4,±3.8,±7.5,±5.3,(X),±25.4,±25.4,(X),±48.0,±29.4,(X),±17.9,±4.4,(X),±10.1,±10.0,,(X),±5.4,±5.6,(X),±5.3,±5.7,(X),±52.9,±56.4,(X),**,**,(X),**,**,(X),±100.0,±100.0,(X),±90.5,±71.8,(X),±100.0,±100.0,(X),±70.4,±63.3,,±27.8,±12.1,±6.2,±39.0,,(X),(X),(X),(X),(X),(X)
"Census Tract 9701.01, Carteret County, North Carolina!!Male!!Estimate",,28,0,28,0,0,326,11,51,112,79,29,29,15,264,44,77,77,0,16,16,4,106,76,6,127,95,34,,303,244,44,303,244,44,19,18,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,2,0,0,,(X),(X),(X),(X),,"39,750","62,159","20,990",-,"104,375",-
"Census Tract 9701.01, Carteret County, North Carolina!!Male!!Margin of Error",,±33,±13,±33,±13,±13,±75,±24,±28,±52,±43,±36,±28,±14,±80,±31,±47,±47,±13,±17,±17,±9,±61,±49,±9,±44,±41,±29,,±67,±71,±31,±67,±71,±31,±33,±33,±13,±13,±13,±13,±13,±13,±13,±4,±4,±13,±21,±13,±13,±13,±13,±13,±21,±13,±13,,(X),(X),(X),(X),,"±22,695","±23,512","±6,524",**,"±98,049",**
"Census Tract 9701.01, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),0.00%,100.00%,0.00%,0.00%,(X),3.40%,15.60%,34.40%,24.20%,8.90%,8.90%,4.60%,81.00%,13.50%,(X),100.00%,0.00%,(X),100.00%,25.00%,(X),71.70%,5.70%,(X),74.80%,26.80%,,(X),80.50%,14.50%,(X),80.50%,14.50%,(X),94.70%,0.00%,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),0.00%,0.00%,(X),-,-,(X),0.00%,0.00%,,3.40%,13.10%,5.60%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9701.01, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±62.2,±62.2,±62.2,±62.2,(X),±7.1,±9.6,±12.0,±13.5,±10.8,±7.8,±4.1,±13.5,±8.5,(X),±37.5,±37.5,(X),±82.2,±40.4,(X),±29.5,±9.0,(X),±17.8,±17.9,,(X),±10.3,±8.9,(X),±10.3,±8.9,(X),±59.4,±75.5,(X),**,**,(X),**,**,(X),±100.0,±100.0,(X),±100.0,±100.0,(X),**,**,(X),±100.0,±100.0,,±35.6,±16.1,±8.8,±49.6,,(X),(X),(X),(X),(X),(X)
"Census Tract 9701.01, Carteret County, North Carolina!!Female!!Estimate",,7,0,1,6,0,406,4,39,207,78,36,22,20,363,42,57,57,0,31,31,4,148,133,5,170,142,33,,369,341,42,363,341,42,15,0,0,0,0,0,0,0,0,0,0,0,19,19,0,3,3,0,25,19,0,,(X),(X),(X),(X),,"16,060",-,"15,353","31,250",-,-
"Census Tract 9701.01, Carteret County, North Carolina!!Female!!Margin of Error",,±19,±13,±9,±11,±13,±114,±9,±32,±96,±36,±26,±15,±26,±110,±27,±64,±64,±13,±29,±29,±7,±58,±50,±6,±67,±61,±27,,±104,±103,±27,±103,±103,±27,±32,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±28,±28,±13,±7,±7,±13,±30,±28,±13,,(X),(X),(X),(X),,"±3,607",**,"±8,235","±29,161",**,**
"Census Tract 9701.01, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),0.00%,14.30%,85.70%,0.00%,(X),1.00%,9.60%,51.00%,19.20%,8.90%,5.40%,4.90%,89.40%,10.30%,(X),100.00%,0.00%,(X),100.00%,12.90%,(X),89.90%,3.40%,(X),83.50%,19.40%,,(X),92.40%,11.40%,(X),93.90%,11.60%,(X),0.00%,0.00%,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),100.00%,0.00%,(X),76.00%,0.00%,,0.00%,14.60%,8.10%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9701.01, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),±100.0,±85.7,±85.7,±100.0,(X),±2.4,±7.6,±14.2,±9.2,±6.7,±4.1,±5.9,±7.7,±6.0,(X),±43.6,±43.6,(X),±59.1,±30.6,(X),±20.6,±4.2,(X),±10.1,±12.7,,(X),±5.2,±6.3,(X),±4.5,±6.5,(X),±84.9,±84.9,(X),**,**,(X),**,**,(X),**,**,(X),±75.5,±75.5,(X),±100.0,±100.0,(X),±53.1,±65.8,,±87.9,±13.4,±9.0,±63.3,,(X),(X),(X),(X),(X),(X)
"Census Tract 9701.02, Carteret County, North Carolina!!Total!!Estimate",,76,0,40,29,7,"1,992",27,165,768,426,359,165,82,"1,800",247,166,166,32,183,183,25,872,785,54,771,666,136,,"1,896","1,747",232,"1,877","1,728",223,36,36,15,0,0,0,0,0,0,0,0,0,0,0,0,60,17,0,28,28,9,,(X),(X),(X),(X),,"37,357",-,"30,439","53,056","35,461","67,955"
"Census Tract 9701.02, Carteret County, North Carolina!!Total!!Margin of Error",,±64,±13,±45,±47,±15,±338,±34,±84,±256,±139,±145,±83,±44,±342,±95,±116,±116,±32,±83,±83,±25,±254,±243,±37,±203,±209,±67,,±339,±343,±86,±352,±354,±84,±44,±44,±26,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±57,±22,±13,±36,±36,±17,,(X),(X),(X),(X),,"±10,513",**,"±11,913","±11,562","±19,914","±32,517"
